Elapsed,October,November,December
<0.3,4.7207476635514,12.845121082218,2.6662369370284
<0.30,9.3472897196262,13.162954835937,6.7311555459406
<0.31,4.2103426791277,5.7470224293357,14.631852679261
<0.32,2.1233644859813,2.8016875728133,7.4878917787717
<0.33,1.2535825545171,1.6660822748301,3.9090680312054
<0.34,0.8388785046729,0.99365463573537,2.0114879094389
<0.35,0.61208722741433,0.66168236984086,0.99161585702365
<0.36,0.42367601246106,0.51068305980025,0.56821442920278
<0.37,0.34741433021807,0.8743255929692,0.38940569274037
<0.38,0.66093457943925,2.0580018323512,0.4909513949289
<0.39,0.94504672897196,2.120211285926,1.5156799809271
<0.40,1.7874143302181,2.7078078519641,1.797358928737
<0.41,2.5310903426791,4.2087523045775,1.9130327286213
<0.42,2.2933333333333,4.1420185271064,3.6013404032689
<0.43,2.1084112149533,3.8241847733879,4.2724250438192
<0.44,2.2798753894081,3.5442422323014,4.3748537521137
<0.45,2.1876635514019,3.0488287656513,4.1607247714118
<0.46,2.097445482866,2.771148386513,3.6719808917479
<0.47,2.3611214953271,2.8158260849894,3.1483582708974
<0.48,3.113769470405,2.6393774530319,2.8269440483181
<0.49,3.2438629283489,2.3317234280802,2.5717552836878
<0.50,3.0115887850467,2.0438633201751,2.5739627989528
<0.51,2.491214953271,1.7418647000939,2.3797014556356
<0.52,2.0326479750779,1.5060343169968,2.0313555468236
<0.53,1.688722741433,1.3120539299408,1.6083956220557
<0.54,1.6493457943925,1.1463505672371,1.382787561976
<0.55,1.5028037383178,1.0236282815487,1.3337807230937
<0.56,1.3153894080997,0.88620194319711,1.2136918926794
<0.57,1.1095327102804,0.82455803010938,1.1514399622073
<0.58,0.97246105919003,0.7312438497472,0.99735539671257
<0.59,0.79102803738318,0.64415061474251,0.87329303882136
<0.6,2.3770716510903,1.4913302643336,2.0128124185979
<0.60,0.66641744548287,0.5451810295099,0.74437414734723
<0.7,6.8321495327103,1.4517424302406,1.7492350959607
<0.8,7.7702180685358,0.79741208673129,0.88918714872913
<0.9,3.111277258567,0.4201965818733,0.39735274769425
<=1,9.7126479750779,7.0166608227483,3.9691124464126
<=2,1.8731464174455,0.44225266086799,0.37483609199158
<=3,0.46604361370717,0.085962154030607,0.07947054953885
<=4,0.26118380062305,0.13516417640339,0.23929465472254
<=5,0.10367601246106,0.037325672144869,0.039293771716431
>5,0.77408099688474,0.24148578796756,0.22693256923872
