Elapsed,vanilla,akismet,cf7,ai1seo,wpseo,jetpack,awj
0.2,2.1577380952381,0.29717682020802,0,0,0,0,0
0.3,3.2738095238095,4.8291233283804,3.125,4.6028210838901,2.5964391691395,3.6431226765799,0
0.4,0.9672619047619,0.22288261515602,2.0833333333333,0.74239049740163,2.5964391691395,1.5613382899628,2.3065476190476
0.5,2.9761904761905,2.2288261515602,0.14880952380952,0.89086859688196,0.51928783382789,0.22304832713755,2.7529761904762
0.6,8.8541666666667,11.144130757801,6.6964285714286,6.6815144766147,0.96439169139466,2.5278810408922,0.37202380952381
0.7,10.119047619048,10.772659732541,8.7053571428571,9.7253155159614,8.4569732937685,7.8066914498141,0.81845238095238
0.8,17.03869047619,17.013372956909,13.318452380952,13.58574610245,7.2700296735905,10.483271375465,6.9196428571429
0.9,15.997023809524,14.413075780089,16.443452380952,15.590200445434,14.46587537092,13.531598513011,6.7708333333333
1.0,12.574404761905,11.218424962853,11.383928571429,13.882702301411,16.320474777448,13.308550185874,12.053571428571
1.1,7.5892857142857,7.1322436849926,10.714285714286,8.7602078693393,11.275964391691,13.60594795539,15.104166666667
1.2,4.8363095238095,5.2005943536404,6.9940476190476,7.0527097253155,10.014836795252,8.5501858736059,11.830357142857
1.3,2.4553571428571,3.8632986627043,4.0178571428571,4.6770601336303,6.973293768546,7.4349442379182,11.309523809524
1.4,1.7857142857143,2.2288261515602,2.9017857142857,2.5241276911656,3.7833827893175,3.5687732342007,7.514880952381
1.5,2.0833333333333,2.0802377414562,2.9761904761905,2.3014105419451,2.8189910979228,3.0483271375465,5.952380952381
1.6,1.6369047619048,1.9316493313522,2.4553571428571,2.6726057906459,3.3382789317507,1.9330855018587,2.9017857142857
1.7,1.264880952381,1.0401188707281,1.6369047619048,1.1135857461024,1.9287833827893,2.3048327137546,2.5297619047619
1.8,0.74404761904762,0.81723625557207,1.1160714285714,1.0393466963623,1.5578635014837,1.4869888475836,2.3065476190476
1.9,0.37202380952381,0.59435364041605,0.81845238095238,0.51967334818114,0.96439169139466,0.66914498141264,1.9345238095238
2.0,0.52083333333333,0.29717682020802,0.37202380952381,0.74239049740163,0.44510385756677,1.0408921933086,1.1904761904762
2.1,0.14880952380952,0.14858841010401,0.52083333333333,0.29695619896065,0.37091988130564,0.37174721189591,0.81845238095238
2.2,0.44642857142857,0.29717682020802,0.22321428571429,0.074239049740163,0.44510385756677,0.14869888475836,0.81845238095238
2.3,0.14880952380952,0.14858841010401,0.29761904761905,0.29695619896065,0.37091988130564,0.14869888475836,0.52083333333333
2.4,0,0,0.37202380952381,0.074239049740163,0.22255192878338,0.14869888475836,0.22321428571429
2.5,0.14880952380952,0.22288261515602,0,0.074239049740163,0.14836795252226,0.14869888475836,0.074404761904762
2.6,0.074404761904762,0.14858841010401,0.44642857142857,0.074239049740163,0.22255192878338,0.22304832713755,0.37202380952381
2.7,0.074404761904762,0.074294205052006,0.074404761904762,0.14847809948033,0.14836795252226,0.074349442379182,0.22321428571429
2.8,0.44642857142857,0.22288261515602,0.22321428571429,0.14847809948033,0.074183976261128,0.22304832713755,0
2.9,0.074404761904762,0.074294205052006,0.37202380952381,0.29695619896065,0.14836795252226,0.14869888475836,0.14880952380952
3.0,0.22321428571429,0.29717682020802,0.22321428571429,0.14847809948033,0.14836795252226,0.29739776951673,0.22321428571429
3.1,0.22321428571429,0,0.14880952380952,0.22271714922049,0.14836795252226,0.14869888475836,0.14880952380952
3.2,0.074404761904762,0.22288261515602,0.074404761904762,0.14847809948033,0.074183976261128,0.14869888475836,0.14880952380952
3.3,0,0,0.22321428571429,0.22271714922049,0.29673590504451,0.14869888475836,0.22321428571429
3.4,0.074404761904762,0.074294205052006,0.074404761904762,0.074239049740163,0,0.074349442379182,0.37202380952381
3.5,0.074404761904762,0.14858841010401,0.22321428571429,0,0.29673590504451,0.074349442379182,0.074404761904762
3.6,0,0.14858841010401,0.074404761904762,0,0.14836795252226,0.074349442379182,0.14880952380952
3.7,0,0.074294205052006,0,0.074239049740163,0.074183976261128,0.29739776951673,0.074404761904762
3.8,0,0.074294205052006,0,0,0,0,0.14880952380952
3.9,0,0,0,0,0.074183976261128,0,0.074404761904762
4.0,0,0,0,0.14847809948033,0,0,0.074404761904762
4.1,0,0,0,0.074239049740163,0,0,0
4.2,0,0,0,0,0,0,0.074404761904762
4.3,0,0,0,0,0,0.074349442379182,0.14880952380952
4.5,0,0,0,0,0,0.074349442379182,0
4.6,0.074404761904762,0,0,0,0,0,0
4.8,0,0,0.074404761904762,0,0,0,0
5.0,0,0,0.074404761904762,0,0,0,0
5.1,0,0,0,0,0.074183976261128,0,0
5.2,0,0.14858841010401,0,0.074239049740163,0,0.074349442379182,0.074404761904762
5.3,0.074404761904762,0,0.22321428571429,0.074239049740163,0,0,0
5.4,0.074404761904762,0,0,0,0.074183976261128,0,0
5.5,0.22321428571429,0.14858841010401,0,0.074239049740163,0,0,0.074404761904762
5.6,0,0,0.14880952380952,0.074239049740163,0.074183976261128,0.074349442379182,0
5.7,0,0,0,0,0.074183976261128,0.074349442379182,0
5.8,0.074404761904762,0,0,0,0,0,0.074404761904762
5.9,0,0,0,0,0,0,0.074404761904762
