name,count,total,average,plusorminus,percentage
vanilla,1595,1097.318624,0.68797405893417,0,0
akismet,1593,1089.240992,0.68376710106717,-0.0042069578670023,-0.61149949076857
cf7,1594,1049.841162,0.65862055332497,-0.029353505609201,-4.2666587828436
ai1seo,1594,1037.962949,0.65116872584693,-0.036805333087245,-5.3498140822729
yoastseo,1588,1112.84209,0.70078217254408,0.01280811360991,1.8617146160645
jetpack,1594,1084.651558,0.68045894479297,-0.0075151141411969,-1.0923542891776
sitemaps,1588,1068.823598,0.67306271914358,-0.014911339790594,-2.1674276227355
nextgen,1588,3022.2506,1.9031804785894,1.2152064196553,176.63550011433
importer,1589,1101.656057,0.69330148332284,0.0053274243886735,0.77436413764305
woocommerce,1586,1223.738004,0.7715876443884,0.083613585454228,12.153595672454
analytics,1599,1114.248707,0.69684096747968,0.0088669085455052,1.2888434426208
